SYMBOL ENSEMBL HOCOID
FOXO4 ENSG00000184481 FOXO4
FOXO6 ENSG00000204060 FOXO6
FOXP2 ENSG00000128573 FOXP2
FOXP3 ENSG00000049768 FOXP3
FOXQ1 ENSG00000164379 FOXQ1
FUBP1 ENSG00000162613 FUBP1
GABP1 ENSG00000104064 GABP1
GABPA ENSG00000154727 GABPA
GATA1 ENSG00000102145 GATA1.S
GATA1 ENSG00000102145 GATA1.A
GATA2 ENSG00000179348 GATA2
GATA3 ENSG00000107485 GATA3
GATA4 ENSG00000136574 GATA4
GATA5 ENSG00000130700 GATA5
GATA6 ENSG00000141448 GATA6.B
GATA6 ENSG00000141448 GATA6.S
GBX1 ENSG00000164900 GBX1
GBX2 ENSG00000168505 GBX2
GCM1 ENSG00000137270 GCM1
GCM2 ENSG00000124827 GCM2
GCR ENSG00000113580 GCR.S
GCR ENSG00000113580 GCR.A
GFI1 ENSG00000162676 GFI1
GFI1B ENSG00000165702 GFI1B
GLI1 ENSG00000111087 GLI1
GLI2 ENSG00000074047 GLI2
GLI3 ENSG00000106571 GLI3
GLIS1 ENSG00000174332 GLIS1
GLIS2 ENSG00000126603 GLIS2
GLIS3 ENSG00000107249 GLIS3
GMEB2 ENSG00000101216 GMEB2
GRHL1 ENSG00000134317 GRHL1
GSC ENSG00000133937 GSC
GSC2 ENSG00000063515 GSC2
GSX1 ENSG00000169840 GSX1
GSX2 ENSG00000180613 GSX2
HAND1 ENSG00000113196 HAND1
HBP1 ENSG00000105856 HBP1
HEN1 ENSG00000171786 HEN1
HES1 ENSG00000114315 HES1
HES5 ENSG00000197921 HES5
HES7 ENSG00000179111 HES7
HESX1 ENSG00000163666 HESX1
HEY1 ENSG00000164683 HEY1
HEY2 ENSG00000135547 HEY2
HIC1 ENSG00000177374 HIC1
HIC2 ENSG00000169635 HIC2
HIF1A ENSG00000100644 HIF1A
HINFP ENSG00000172273 HINFP
HLF ENSG00000108924 HLF
HLTF ENSG00000071794 HLTF
HMBX1 ENSG00000147421 HMBX1
HME1 ENSG00000163064 HME1
HME2 ENSG00000164778 HME2
HMGA1 ENSG00000137309 HMGA1
HMGA2 ENSG00000149948 HMGA2
HMX1 ENSG00000215612 HMX1
